Frequency (Hz),Antenna Factor (dB/m)
1000000000.0,22.0
1171717171.7171717,22.2020202020202
1343434343.4343433,22.404040404040405
1515151515.1515152,22.606060606060606
1686868686.868687,22.80808080808081
1858585858.5858586,23.01010101010101
2030303030.3030305,23.21212121212121
2202020202.020202,23.414141414141415
2373737373.737374,23.616161616161616
2545454545.4545455,23.818181818181817
2717171717.171717,24.02020202020202
2888888888.8888893,24.22222222222222
3060606060.606061,24.424242424242426
3232323232.3232327,24.626262626262626
3404040404.0404043,24.828282828282827
3575757575.757576,25.03030303030303
3747474747.4747477,25.232323232323232
3919191919.1919193,25.434343434343432
4090909090.909091,25.636363636363637
4262626262.6262627,25.838383838383837
4434343434.343434,26.04040404040404
4606060606.060606,26.242424242424242
4777777777.777779,26.444444444444443
4949494949.494949,26.646464646464647
5121212121.212122,26.848484848484848
5292929292.929293,27.050505050505052
5464646464.646465,27.252525252525253
5636363636.363637,27.454545454545453
5808080808.080809,27.656565656565657
5979797979.79798,27.858585858585858
6151515151.515152,28.060606060606062
6323232323.232324,28.262626262626263
6494949494.949495,28.464646464646464
6666666666.666667,28.666666666666668
6838383838.383839,28.86868686868687
7010101010.10101,29.070707070707073
7181818181.818182,29.272727272727273
7353535353.535354,29.474747474747474
7525252525.252525,29.676767676767675
7696969696.969697,29.87878787878788
7868686868.686869,30.080808080808083
8040404040.404041,30.282828282828284
8212121212.121213,30.484848484848484
8383838383.838385,30.686868686868685
8555555555.555556,30.88888888888889
8727272727.272728,31.09090909090909
8898989898.989899,31.292929292929294
9070707070.707071,31.494949494949495
9242424242.424244,31.696969696969695
9414141414.141415,31.8989898989899
9585858585.858585,32.101010101010104
9757575757.575758,32.303030303030305
9929292929.29293,32.505050505050505
10101010101.010101,32.707070707070706
10272727272.727274,32.90909090909091
10444444444.444445,33.111111111111114
10616161616.161617,33.313131313131315
10787878787.878788,33.515151515151516
10959595959.59596,33.717171717171716
11131313131.313131,33.91919191919192
11303030303.030304,34.121212121212125
11474747474.747475,34.323232323232325
11646464646.464647,34.525252525252526
11818181818.181818,34.72727272727273
11989898989.89899,34.92929292929293
12161616161.616163,35.131313131313135
12333333333.333334,35.333333333333336
12505050505.050507,35.535353535353536
12676767676.767677,35.73737373737374
12848484848.48485,35.93939393939394
13020202020.20202,36.141414141414145
13191919191.919193,36.34343434343434
13363636363.636364,36.54545454545455
13535353535.353537,36.74747474747475
13707070707.070707,36.94949494949495
13878787878.78788,37.15151515151515
14050505050.50505,37.35353535353535
14222222222.222223,37.55555555555556
14393939393.939394,37.75757575757576
14565656565.656567,37.95959595959596
14737373737.373737,38.161616161616166
14909090909.09091,38.36363636363636
15080808080.808083,38.56565656565657
15252525252.525253,38.76767676767677
15424242424.242426,38.96969696969697
15595959595.959597,39.17171717171718
15767676767.67677,39.37373737373737
15939393939.39394,39.57575757575758
16111111111.111113,39.77777777777778
16282828282.828283,39.97979797979798
16454545454.545456,40.18181818181818
16626262626.262627,40.38383838383838
16797979797.9798,40.58585858585859
16969696969.69697,40.78787878787879
17141414141.414143,40.98989898989899
17313131313.131313,41.19191919191919
17484848484.848488,41.39393939393939
17656565656.56566,41.5959595959596
17828282828.28283,41.7979797979798
18000000000.0,42.0
